"","state.county","date","cases","deaths","per1k","days_since_case100","days_since_death10"
"1248","Mississippi-Yalobusha",2020-04-06,11,0,0.908490254377271,0,0
"1249","Mississippi-Yazoo",2020-04-06,32,1,1.07780397440216,0,0
"1250","Missouri-Adair",2020-04-06,10,0,0.394586276289311,0,0
"1251","Missouri-Atchison",2020-04-06,1,0,0.194439043359907,0,0
"1252","Missouri-Barry",2020-04-06,1,0,0.0279415462851714,0,0
"1253","Missouri-Bates",2020-04-06,3,0,0.185505812515459,0,0
"1254","Missouri-Benton",2020-04-06,3,0,0.154297176361673,0,0
"1255","Missouri-Bollinger",2020-04-06,1,0,0.0824198466990851,0,0
"1256","Missouri-Boone",2020-04-06,76,1,0.42113895923264,0,0
"1257","Missouri-Buchanan",2020-04-06,11,0,0.125909985806511,0,0
"1258","Missouri-Butler",2020-04-06,2,0,0.047083196007345,0,0
"1259","Missouri-Caldwell",2020-04-06,1,0,0.110864745011086,0,0
"1260","Missouri-Callaway",2020-04-06,19,1,0.424647430883043,0,0
"1261","Missouri-Camden",2020-04-06,24,1,0.518302559118886,0,0
"1262","Missouri-Cape Girardeau",2020-04-06,20,0,0.253578628393199,0,0
"1263","Missouri-Carter",2020-04-06,3,1,0.501504513540622,0,0
"1264","Missouri-Cass",2020-04-06,26,1,0.245793155605975,0,0
"1265","Missouri-Cedar",2020-04-06,4,0,0.278765070736637,0,0
"1266","Missouri-Chariton",2020-04-06,4,0,0.538647993536224,0,0
"1267","Missouri-Christian",2020-04-06,17,0,0.191884417856538,0,0
"1268","Missouri-Clark",2020-04-06,1,0,0.14712373105782,0,0
"1269","Missouri-Clay",2020-04-06,37,1,0.148030790404404,0,0
"1270","Missouri-Clinton",2020-04-06,8,0,0.392406925982244,0,0
"1271","Missouri-Cole",2020-04-06,30,1,0.390904944947554,0,0
"1272","Missouri-Cooper",2020-04-06,2,0,0.11293692472754,0,0
"1273","Missouri-Crawford",2020-04-06,3,0,0.125418060200669,0,0
"1274","Missouri-DeKalb",2020-04-06,1,0,0.0797003267713398,0,0
"1275","Missouri-Dunklin",2020-04-06,8,0,0.274621537194054,0,0
"1276","Missouri-Franklin",2020-04-06,33,2,0.317408408437293,0,0
"1277","Missouri-Gasconade",2020-04-06,2,0,0.135998912008704,0,0
"1278","Missouri-Gentry",2020-04-06,1,0,0.152183838076396,0,0
"1279","Missouri-Greene",2020-04-06,66,7,0.225189876009089,0,0
"1280","Missouri-Harrison",2020-04-06,3,0,0.359195402298851,0,0
"1281","Missouri-Henry",2020-04-06,2,1,0.0916422287390029,0,0
"1282","Missouri-Howell",2020-04-06,1,0,0.0249270882668196,0,0
"1283","Missouri-Jackson",2020-04-06,149,4,0.211945474537383,5,0
"1284","Missouri-Jasper",2020-04-06,9,0,0.074179084794936,0,0
"1285","Missouri-Jefferson",2020-04-06,81,2,0.35987044663921,0,0
"1286","Missouri-Johnson",2020-04-06,32,0,0.591912988790648,0,0
"1287","Missouri-Kansas City",2020-04-06,212,1,0.430966136632528,9,0
"1288","Missouri-Lafayette",2020-04-06,28,1,0.856059679589091,0,0
